"date","ngn_per_usd","gdp_growth_monthly_interp","debt_service_monthly_interp","log_exr","log_exr_return","gdp_growth_m","debt_service_m"
2001-12-01,111.9,0.905842930582227,0.976197711494898,4.71760561531788,0.00367071453839962,0.905842930582227,0.976197711494898
2002-01-01,113.5,1.04699848463167,0.912452435195757,4.73180283692146,0.0141972216035775,1.04699848463167,0.912452435195757
2002-02-01,114.3,1.16525107230754,0.854503519083309,4.73882657080077,0.00702373387930777,1.16525107230754,0.854503519083309
2002-03-01,115.54,1.26060069360983,0.802350963157554,4.74961679035312,0.0107902195523542,1.26060069360983,0.802350963157554
2002-04-01,115.63,1.33304734853855,0.755994767418493,4.75039543814087,0.000778647787750941,1.33304734853855,0.755994767418493
2002-05-01,116.04,1.38259103709368,0.715434931866124,4.7539349592532,0.0035395211123328,1.38259103709368,0.715434931866124
2002-06-01,118.045,1.40923175927523,0.680671456500448,4.77106590770018,0.0171309484469733,1.40923175927523,0.680671456500448
2002-07-01,124.137,1.4129695150832,0.651704341321465,4.8213857944296,0.0503198867294259,1.4129695150832,0.651704341321465
2002-08-01,125.0086,1.39380430451759,0.628533586329176,4.82838253493569,0.00699674050608756,1.39380430451759,0.628533586329176
2002-09-01,125.9653,1.35173612757841,0.611159191523579,4.83600647219741,0.00762393726172217,1.35173612757841,0.611159191523579
2002-10-01,126.055,1.28676498426564,0.599581156904676,4.83671831964611,0.000711847448699565,1.28676498426564,0.599581156904676
2002-11-01,126.329,1.19889087457929,0.593799482472466,4.83888961503447,0.00217129538836236,1.19889087457929,0.593799482472466
2002-12-01,126.388,1.08811379851937,0.593814168226949,4.83935654049712,0.000466925462648149,1.08811379851937,0.593814168226949
2003-01-01,126.5718,0.954433756085865,0.599625214168126,4.84080973608271,0.00145319558558565,0.954433756085865,0.599625214168126
2003-02-01,126.9844,0.837256083329218,0.600579506255683,4.84406424426813,0.00325450818542095,0.837256083329218,0.600579506255683
2003-03-01,130.352,0.736580780249427,0.596677044489621,4.87023848356829,0.0261742393001576,0.736580780249427,0.596677044489621
2003-04-01,126.983,0.652407846846492,0.58791782886994,4.84405321923106,-0.0261852643372293,0.652407846846492,0.58791782886994
2003-05-01,127.168,0.584737283120413,0.574301859396638,4.84550904692935,0.00145582769829478,0.584737283120413,0.574301859396638
2003-06-01,127.401,0.53356908907119,0.555829136069718,4.84733959240082,0.00183054547146888,0.53356908907119,0.555829136069718
2003-07-01,127.323,0.498903264698822,0.532499658889177,4.84672716481302,-0.000612427587803666,0.498903264698822,0.532499658889177
2003-08-01,127.605,0.480739810003311,0.504313427855017,4.84893955509596,0.00221239028294029,0.480739810003311,0.504313427855017
2003-09-01,128.174,0.479078724984657,0.471270442967238,4.8533887158059,0.0044491607099415,0.479078724984657,0.471270442967238
2003-10-01,129.276,0.493920009642858,0.433370704225839,4.86194965370006,0.00856093789415713,0.493920009642858,0.433370704225839
2003-11-01,136.107,0.525263663977916,0.39061421163082,4.91344134110482,0.0514916874047673,0.525263663977916,0.39061421163082
2003-12-01,136.723,0.573109687989829,0.343000965182183,4.91795698122312,0.00451564011830019,0.573109687989829,0.343000965182183
2004-01-01,135.5823,0.637458081678599,0.290530964879926,4.90957883601294,-0.00837814521018831,0.637458081678599,0.290530964879926
2004-02-01,134.655,0.69255301045967,0.254902392694418,4.90271595187676,-0.00686288413617397,0.69255301045967,0.254902392694418
2004-03-01,133.082,0.738394474333042,0.236115248625656,4.8909654795916,-0.0117504722851596,0.738394474333042,0.236115248625656
2004-04-01,132.99,0.774982473298713,0.234169532673641,4.89027393742507,-0.000691542166529224,0.774982473298713,0.234169532673641
2004-05-01,132.012,0.802317007356687,0.249065244838377,4.8828928275453,-0.00738110987977336,0.802317007356687,0.249065244838377
2004-06-01,132.25,0.820398076506959,0.280802385119857,4.88469407073841,0.00180124319310959,0.820398076506959,0.280802385119857
2004-07-01,132.299,0.829225680749533,0.329380953518086,4.88506451251336,0.000370441774948382,0.829225680749533,0.329380953518086
2004-08-01,132.329,0.828799820084408,0.394800950033063,4.88529124589099,0.000226733377635568,0.828799820084408,0.394800950033063
2004-09-01,132.345,0.819120494511582,0.477062374664787,4.88541214934218,0.000120903451184873,0.819120494511582,0.477062374664787
2004-10-01,132.382,0.800187704031058,0.57616522741326,4.88569168259901,0.000279533256834164,0.800187704031058,0.57616522741326
2004-11-01,132.372,0.772001448642834,0.692109508278478,4.88561614077525,-7.55418237661232e-05,0.772001448642834,0.692109508278478
2004-12-01,132.358,0.734561728346911,0.824895217260445,4.88551037263402,-0.000105768141223983,0.734561728346911,0.824895217260445
2005-01-01,132.36,0.687868543143287,0.97452235435916,4.88552548305341,1.51104193903961e-05,0.687868543143287,0.97452235435916
2005-02-01,132.471,0.64560657369393,1.10607375963681,4.88636375354667,0.000838270493257021,0.64560657369393,1.10607375963681
2005-03-01,132.353,0.607775819998838,1.21954943309339,4.8854725955866,-0.000891157960073663,0.607775819998838,1.21954943309339
2005-04-01,132.353,0.574376282058008,1.31494937472891,4.8854725955866,0,0.574376282058008,1.31494937472891
2005-05-01,132.32,0.545407959871444,1.39227358454335,4.88522323127538,-0.000249364311214251,0.545407959871444,1.39227358454335
2005-06-01,132.368,0.520870853439143,1.45152206253673,4.88558592244783,0.000362691172446361,0.520870853439143,1.45152206253673
2005-07-01,132.37,0.500764962761106,1.49269480870905,4.88560103172568,1.51092778519768e-05,0.500764962761106,1.49269480870905
2005-08-01,131.75,0.485090287837334,1.51579182306029,4.88090618742147,-0.00469484430420763,0.485090287837334,1.51579182306029
2005-09-01,129.02,0.473846828667827,1.52081310559047,4.8599674311041,-0.020938756317376,0.473846828667827,1.52081310559047
2005-10-01,129.54,0.467034585252584,1.50775865629958,4.86398971375477,0.00402228265067528,0.467034585252584,1.50775865629958
2005-11-01,129.387,0.464653557591605,1.47662847518763,4.86280791334147,-0.00118180041329996,0.464653557591605,1.47662847518763
2005-12-01,129,0.466703745684891,1.42742256225461,4.85981240436167,-0.00299550897979906,0.466703745684891,1.42742256225461
2006-01-01,130.29,0.473185149532439,1.36014091750052,4.86976273521484,0.00995033085316788,0.473185149532439,1.36014091750052
2006-02-01,129.59,0.479505733630592,1.2918064669554,4.86437562044732,-0.00538711476751708,0.479505733630592,1.2918064669554
2006-03-01,128.7,0.485665497979347,1.22241921061924,4.85748411460208,-0.00689150584524167,0.485665497979347,1.22241921061924
2006-04-01,128.47,0.491664442578707,1.15197914849204,4.85569541404352,-0.00178870055856262,0.491664442578707,1.15197914849204
2006-05-01,128.45,0.497502567428668,1.0804862805738,4.85553972355589,-0.000155690487625648,0.497502567428668,1.0804862805738
2006-06-01,128.46,0.503179872529232,1.00794060686453,4.85561757182965,7.78482737535668e-05,0.503179872529232,1.00794060686453
2006-07-01,128.38,0.5086963578804,0.934342127364226,4.85499461588363,-0.000622955946014692,0.5086963578804,0.934342127364226
2006-08-01,128.33,0.51405202348217,0.859690842072882,4.85460507125637,-0.000389544627261706,0.51405202348217,0.859690842072882
2006-09-01,128.29,0.519246869334543,0.783986750990502,4.85429332626125,-0.000311744995121543,0.519246869334543,0.783986750990502
2006-10-01,128.28,0.524280895437517,0.707229854117084,4.85421537482495,-7.7951436294299e-05,0.524280895437517,0.707229854117084
2006-11-01,128.29,0.529154101791098,0.629420151452631,4.85429332626125,7.7951436294299e-05,0.529154101791098,0.629420151452631
2006-12-01,128.29,0.533866488395279,0.550557642997141,4.85429332626125,0,0.533866488395279,0.550557642997141
2007-01-01,128.2772,0.538418055250063,0.470642328750615,4.85419354733385,-9.97789273968763e-05,0.538418055250063,0.470642328750615
2007-02-01,128.2687,0.542370251211783,0.397708492809204,4.85412728238865,-6.62649452056741e-05,0.542370251211783,0.397708492809204
2007-03-01,128.1513,0.545723076280439,0.331756135172912,4.8532115971207,-0.000915685267943722,0.545723076280439,0.331756135172912
2007-04-01,127.9814,0.548476530456028,0.272785255841735,4.85188494086073,-0.00132665625996964,0.548476530456028,0.272785255841735
2007-05-01,127.5596,0.550630613738555,0.220795854815677,4.8485837063577,-0.00330123450303343,0.550630613738555,0.220795854815677
2007-06-01,127.109,0.552185326128014,0.175787932094733,4.84504498607399,-0.0035387202837045,0.552185326128014,0.175787932094733
2007-07-01,127.1859,0.553140667624409,0.137761487678906,4.84564979570521,0.000604809631212788,0.553140667624409,0.137761487678906
2007-08-01,126.6753,0.55349663822774,0.106716521568196,4.84162711962442,-0.00402267608079221,0.55349663822774,0.106716521568196
2007-09-01,125.8826,0.553253237938006,0.0826530337626032,4.83534972657458,-0.00627739304983788,0.553253237938006,0.0826530337626032
2007-10-01,124.276,0.552410466755205,0.0655710242621266,4.82250489861905,-0.0128448279555249,0.552410466755205,0.0655710242621266
2007-11-01,120.1206,0.550968324679341,0.0554704930667673,4.78849623810765,-0.0340086605114029,0.550968324679341,0.0554704930667673
2007-12-01,118.2097,0.548926811710412,0.0523514401765237,4.77246016590271,-0.0160360722049413,0.548926811710412,0.0523514401765237
2008-01-01,117.98,0.546285927848418,0.0562138655913968,4.77051511857493,-0.00194504732777911,0.546285927848418,0.0562138655913968
2008-02-01,118.21,0.54496975447842,0.0599382264451578,4.77246270376229,0.00194758518735672,0.54496975447842,0.0599382264451578
2008-03-01,117.92,0.544978291600414,0.0635245227378028,4.77000642844103,-0.00245627532125958,0.544978291600414,0.0635245227378028
2008-04-01,117.87,0.546311539214406,0.0669727544693369,4.76958232223848,-0.000424106202547847,0.546311539214406,0.0669727544693369
2008-05-01,117.83,0.548969497320392,0.0702829216397575,4.76924290772525,-0.000339414513229386,0.548969497320392,0.0702829216397575
2008-06-01,117.81,0.552952165918373,0.0734550242490635,4.76907315725803,-0.000169750467221341,0.552952165918373,0.0734550242490635
