"beta0","betaExR","omega","alpha","gamma","phi","betaGDP","betaDebt"
0.00101863059201983,0.228695932256696,-1.53930542706793,0.419748584794978,0.167729945290458,0.803038776641519,-0.129734708992296,0.259747104338067
0.000728584815126185,0.333719599630214,-1.47814987703936,0.474016490257448,0.21430992052726,0.808888853880823,-0.169484681532392,0.244207802910526
0.000259513353759978,0.222991370347625,-1.74655531700347,0.637273753688015,0.177924584184345,0.759456289529239,-0.157774246960927,0.325187162260132
0.00158919314361916,0.29917956442275,-0.963142748933934,0.627217975574631,-0.0324062338029049,0.860522306985662,-0.116427081795001,0.25119381455911
0.00195280880281601,0.449185903448608,-1.56168065626716,0.3859792983216,0.273869913273729,0.797210077935988,-0.174835157299709,0.162505164568688
0.000928080482497981,0.298488960177733,-1.34120232464437,0.509620682220857,0.150514966160062,0.822928890140383,-0.155914344400615,0.255579655073342
0.00169235445079582,0.394015144334156,-1.57706799150245,0.540349807489798,0.307188161597371,0.788352557578223,-0.129011847073687,0.260509864266457
0.000544883139758021,0.366267368943943,-1.39469719058394,0.447417580208386,0.138688999300483,0.818082643408024,-0.171135582995549,0.209993260078661
0.00068158133834075,0.308733658934469,-1.93927307052081,0.453819282668213,0.257385595698711,0.749431660303472,-0.189072607907713,0.307159697209254
0.000260495970379969,0.328587690619625,-2.46538833650025,0.447626058790096,0.333714386909046,0.69309856421798,-0.101753145235608,0.438371414198836
0.000408502885593532,0.570078661220701,-1.6308083471947,0.481973274655942,0.328719223460621,0.788854664878108,-0.0990002178521749,0.301096947010966
0.00157061889799505,0.486309876293348,-1.37347151355572,0.562911075100493,0.203700626691635,0.811350940101926,-0.104372794653964,0.299218513770887
0.000942303767629413,0.432424428169187,-2.26764305565498,0.40081040117745,0.374721877004229,0.718549281804464,-0.249549951063413,0.276004845028651
0.0011242086300661,0.34215840376763,-0.970848291738748,0.564153519508838,0.0577280562070275,0.862811007326437,-0.165218245191229,0.184627403800929
0.000933438725325494,0.159323084379861,-1.46141111514267,0.49463607027087,0.25165184111828,0.801665042828221,-0.0867611763356795,0.307305078981609
-0.000337597344337259,0.219487368559327,-1.20583000977877,0.531367041865017,0.177400926695784,0.836674438506744,-0.0614958102497355,0.310419266420584
0.000718606334937851,0.379419195152291,-1.63810090248472,0.395953156300098,0.186652832860347,0.790306681284691,-0.137564123239185,0.274486091880068
0.00156940812726869,0.420403416892468,-1.71154372321573,0.435330127994111,0.280548422744605,0.782194863603551,-0.220442238495175,0.233014489824418
0.000650417454928311,0.301316116147545,-1.75539141315177,0.358672173329576,0.181411124091852,0.778688707446435,-0.190048293589044,0.23505825679366
0.000486087995650256,0.456019146284547,-1.74681614638477,0.557453614889947,-0.0190119176910431,0.771944155954744,-0.193286680911221,0.268481649395433
0.000830868435119506,0.23134717936949,-1.89889946001505,0.47225605789278,0.341638845308967,0.751683019072638,-0.177199425392799,0.296250171829956
0.000354977481781885,0.420234136169149,-1.97784172416338,0.406878457561348,0.340050140912681,0.752679529509723,-0.0917428932621453,0.338244598596192
0.000714831495703411,0.314459064243694,-2.44051804781883,0.353150072540411,0.371806430565911,0.706930637963924,-0.160209980135183,0.314900674736139
0.00134978462092854,0.308828212361423,-1.49412236990322,0.330565184767783,0.267011580001842,0.815881902533134,-0.0831143130813934,0.171879604779138
0.00122315443447693,0.302365768423024,-1.46753984632948,0.501129075739493,0.167869588852601,0.806510097715926,-0.160596392441142,0.235049692920387
0.000383151278372041,0.375303473947564,-1.79041994090959,0.295301988750342,0.280788160709036,0.774493626495439,-0.132094645509867,0.208853726965158
0.00117363314262841,0.316880466382021,-2.40210564434904,0.500450532346853,0.233409045759709,0.692183779511816,-0.0692677666503869,0.405788997659241
0.000879208723631622,0.281389657965091,-2.51916437000459,0.499589496015681,0.172998967349722,0.680182939204932,-0.13707222646155,0.506069652637793
0.00135538862713978,0.143150015890133,-1.46643224538532,0.425615307533848,0.113279358274466,0.810889568578719,-0.195482427929729,0.232101337852287
0.00226132096603855,0.288637115667901,-1.44437445124135,0.4093731484697,0.202233775280928,0.818547227416224,-0.140462378399258,0.232435355022338
0.000233072567121835,0.270143395031973,-2.02286131339699,0.377055525915379,0.233205055026537,0.744591679272916,-0.11251554738626,0.351106589324934
0.000878382148616204,0.374295599036408,-2.15338038951841,0.488619912333577,0.220708468890261,0.726758189884755,-0.102682291466105,0.333936371647039
0.000414730381602512,0.209570178543818,-1.98873546371698,0.481052250590177,0.213008638558836,0.747663405911552,-0.0797735060139597,0.369330278089088
0.000753693278858433,0.443807979038288,-1.44749159214412,0.485430863174213,0.17994046509699,0.814058228342144,-0.170063673643699,0.23693008800201
0.00165132316324402,0.212177553837296,-1.2813680281885,0.531142760937112,0.212602875790551,0.82493589254328,-0.117992275753734,0.220184522699311
-0.000190819218196274,0.332627670593392,-2.13338873934496,0.406768433474891,0.273464218105952,0.737937124819045,-0.101732862524704,0.350308130533632
0.00114151504338261,0.409905784910978,-1.49978511593451,0.389261428753215,0.297286450376955,0.804458070614608,-0.189880308696967,0.20493196006213
0.00116125635576859,0.454261941681987,-1.09159791071388,0.502635777767843,0.201928260843433,0.85034389069976,-0.108252260252171,0.22022221633775
0.00151157209753095,0.413986228314937,-1.66451569128369,0.559140506781937,0.231474567024342,0.77860156875898,-0.181660552686263,0.226496956390363
0.000286163982414086,0.346978341523166,-1.45686363239999,0.437270112312063,0.276339036130625,0.806616581255152,-0.210855027844394,0.218883471785814
0.00111598996218343,0.316337334063399,-1.74485317922656,0.442060652638938,0.218887084129216,0.776956119929675,-0.107596514918326,0.245943841870278
0.00146572037241871,0.507503753019915,-1.36801039559416,0.397105881109615,0.108469024709506,0.824590878078911,-0.216227026745621,0.17754742527418
