"date","h_median","h_lo","h_hi","vol_median","vol_lo","vol_hi"
2001-05-01,0.000946971627211946,0.000711000857867999,0.00126988665844311,0.0307729041075415,0.0266645993382237,0.0356354691065391
2001-06-01,0.000530012570290697,0.000370561930932078,0.000761966958120509,0.023022001874092,0.0192499852190093,0.0276037489866958
2001-07-01,0.000302721056113833,0.00019456994034046,0.000469092447314387,0.0173988808868224,0.0139488329382949,0.0216585421327103
2001-08-01,0.000162442236228394,0.00010169602930353,0.00026155987252757,0.0127452829010734,0.010084444917968,0.0161728127586876
2001-09-01,8.61862237882992e-05,5.23500957306682e-05,0.000143101462054582,0.00928365357972276,0.00723533660106206,0.0119625023324797
2001-10-01,5.87359289134574e-05,3.03903136306791e-05,0.000107793298108248,0.0076639369069335,0.00551274102699185,0.0103823551330249
2001-11-01,3.71710401031591e-05,2.06211313163404e-05,6.67925503055804e-05,0.00609680572949139,0.00454104958311847,0.00817267094073782
2001-12-01,6.57555203991422e-05,4.1163401224316e-05,0.00010637588584786,0.00810897776536242,0.00641587104174609,0.0103138686169575
2002-01-01,2.62650498319326e-05,1.53521150330757e-05,4.68123470785484e-05,0.005124943885735,0.00391817751423742,0.00684195491643641
2002-02-01,6.65919849726106e-05,4.11216764355066e-05,0.000110110164547457,0.00816039122668825,0.00641261853188747,0.0104933390561564
2002-03-01,3.60403586581417e-05,2.12656183910401e-05,6.37030283152799e-05,0.00600336227943489,0.00461146596984518,0.00798141768831076
2002-04-01,5.21045184165097e-05,3.0983201809644e-05,8.74615391228119e-05,0.00721834596126493,0.00556625563639005,0.00935208742061428
2002-05-01,3.97592412093199e-05,2.66125916263369e-05,5.95574574760693e-05,0.00630549293943938,0.00515873934467879,0.00771734782655734
2002-06-01,4.13595779850126e-05,2.78499827463401e-05,6.10398251444248e-05,0.00643114126613718,0.00527730828608109,0.00781279880352904
2002-07-01,0.00017815352655148,0.000117502046588215,0.000281380975554429,0.0133474164747894,0.0108398360960032,0.0167744143133055
2002-08-01,0.00116049048658976,0.000754365413579068,0.00177480072003355,0.034065972561924,0.0274657134183525,0.0421283837814075
2002-09-01,0.000717121173248653,0.000520446988256599,0.000992897670048378,0.0267791182313506,0.0228133072625737,0.0315102787999151
2002-10-01,0.000577764342925534,0.000392250880792606,0.00084763061965009,0.0240367290396496,0.0198053245566087,0.0291140965796655
2002-11-01,0.000516758581023639,0.000307338207979468,0.000850127712409387,0.0227323245846886,0.0175310640857727,0.029156949641713
2002-12-01,0.000539348549596503,0.000281299294489561,0.0010213890018198,0.0232238788662984,0.0167719794445844,0.0319591771142469
2003-01-01,0.000624774808726439,0.000275788939989325,0.00139487800504666,0.0249954957687668,0.0166068943511219,0.0373480656131835
2003-02-01,0.00063339830426018,0.000254456609204287,0.00158199655017241,0.0251674055925552,0.0159516961231177,0.0397743202352022
